caddyID,name,club,rank,rating
8714,Eddie Langton  ,Whisper Creek Golf Club,A,4
3794,Zelma Prato  ,Prairie Vista Golf Course,A,3
7018,Domonique Hervey  ,Bolingbrook Golf Club,A,3
2555,Lashonda Jeong  ,Addison Golf Course,B,0
3218,Johnathan Rieck  ,Oak Meadows Golf Course,A,4
8168,Fanny Cammack  ,Hawthorn Ridge Golf Club,B,2
7712,Vince Rohde  ,Oak View Country Club,A,3
4358,Chelsey Delapena  ,Golf Club of Illinois,B,1
8258,Antoinette Buller  ,Terrace Hill Golf Course,B,1
1223,Allena Madrigal  ,Fountain Hills Golf Club,B,2
5653,Lyndsey Stocking  ,Alton Municipal Golf Course,B,0
8054,Ute Snelgrove  ,Cloverleaf Golf Course,A,3
3563,Marcelina Koo  ,Lockhaven Country Club,B,0
7188,Hee Kincaid  ,Rock Spring Golf Course,A,3
5443,Sanjuana Lima  ,Roseland Golf Course,A,5
9184,Daniel Dustin  ,Spencer T. Olin Community Golf Course,B,1
6865,Shaunda Soltis  ,Woodlands Golf Club,B,1
7483,Milton Zawislak  ,Shady Oaks Country Club,A,4
9531,Kip Choiniere  ,Union County Country Club,A,4
4799,Alvin Lenhardt  ,Antioch Golf Club,B,0
7203,Sonia Buscher  ,Apple Canyon Lake Golf Course,B,0
9967,Adalberto Beegle  ,Kaskaskia Country Club,B,0
6418,Zane Villavicencio  ,Arlington Lakes Golf Club,B,0
307,Melissia Bellefeuille  ,Par 3 Course at Nickol Knoll Golf Club,A,5
1015,Rheba Hillard  ,Rolling Green Country Club,A,4
1184,Lucina Fitzsimmons  ,North Greens Golf Course,B,1
8547,Tuyet Reichenbach  ,Edgewood Golf Club,B,2
7565,Justina Herdman  ,Tri-County Country Club,A,4
4896,Lillian Beringer  ,Aurora City Golf Course,B,2
6792,Darleen Mckellar  ,Aurora Country Club,B,0
6912,Wendolyn Seipel  ,Orchard Valley Golf Course,A,5
2601,Lucrecia Apicella  ,Stonebridge Country Club,A,3
9331,Davina Chester  ,Swan Creek Golf Club,B,1
6507,Eladia Mattis  ,Barrington Hills Country Club,A,4
4405,Ashly Hutchinson  ,Barrington Park District Golf Course,B,1
8265,Jarvis Ramey  ,Biltmore Country Club,A,3
9783,Vance Klawitter  ,Lake Barrington Shores Golf Club,B,1
5099,Marry Muszynski  ,Makray Memorial Golf Club,A,3
1451,Coreen Loisel  ,Stonehenge GC,B,1
3068,Waltraud Beebe  ,Bow Lake Golf Course,A,5
4996,Drucilla Lanham  ,Apple Orchard Golf Course,B,0
224,Hilma Amsler  ,Bartlett Hills Golf Club,B,0
5565,Myrtle Benz  ,Villa Olivia Country Club,B,1
2582,Ardelia Paull  ,Coyote Creek Golf Club,B,0
7561,Luke Martinez  ,Settlers Hill Golf Course,A,3
1240,Mira Lummus  ,Greenshire Golf Course,A,4
1133,Salvador Lochner  ,ThunderHawk Golf Club,B,2
3796,Pearlene Stultz  ,Center North Course at Cardinal Creek Golf Course,A,4
8445,Elizabet Gorka  ,North South Course at Cardinal Creek Golf Course,A,5
516,Marin Wilmer  ,South Center Course at Cardinal Creek Golf Course,B,2
